video_id,window_config,window_lead,window_tail,window_total,audio_threshold,visual_threshold,top_percentile,true_peaks,duration_secs,ai_windows_after_audio,ai_windows_after_visual,recall_pct,noise_pct,pruned_pct,rand_recall_pct,rand_noise_pct,rand_pruned_pct,uniform_recall_pct,uniform_noise_pct,uniform_pruned_pct,recall_delta_vs_random,recall_delta_vs_uniform
ewKEe8pL8_w,compact_40s,30,10,40,0.5,150,0.15,13,763,5,5,100.0,20.0,6.9,7.7,80.0,73.8,23.1,60.0,73.8,92.3,76.9
ewKEe8pL8_w,tight_25s,20,5,25,0.5,150,0.15,13,763,11,11,92.3,45.5,20.3,0.0,100.0,64.0,38.5,63.6,64.0,92.3,53.8
ewKEe8pL8_w,minimal_20s,15,5,20,0.5,150,0.15,13,763,15,15,69.2,73.3,27.7,15.4,93.3,60.7,38.5,73.3,60.7,53.8,30.7
wdGLOmdpq_k,original_60s,45,15,60,0.5,150,0.15,13,934,1,0,0.0,0.0,100.0,0.0,100.0,93.6,30.8,0.0,93.6,0.0,-30.8
wdGLOmdpq_k,compact_40s,30,10,40,0.5,150,0.15,13,934,1,0,0.0,0.0,100.0,0.0,100.0,93.6,30.8,0.0,93.6,0.0,-30.8
wdGLOmdpq_k,tight_25s,20,5,25,0.5,150,0.15,13,934,16,14,84.6,71.4,22.6,30.8,85.7,62.5,38.5,71.4,62.5,53.8,46.1
wdGLOmdpq_k,minimal_20s,15,5,20,0.5,150,0.15,13,934,18,16,76.9,75.0,30.5,23.1,87.5,65.7,46.2,81.2,65.7,53.8,30.7
4Z-KLkjICoY,original_60s,45,15,60,0.5,150,0.15,14,2735,20,20,64.3,70.0,33.4,35.7,75.0,56.1,28.6,85.0,56.1,28.6,35.7
4Z-KLkjICoY,compact_40s,30,10,40,0.5,150,0.15,14,2735,25,25,64.3,72.0,49.1,35.7,80.0,63.4,28.6,84.0,63.4,28.6,35.7
4Z-KLkjICoY,tight_25s,20,5,25,0.5,150,0.15,14,2735,32,31,42.9,80.6,65.7,28.6,87.1,71.7,42.9,80.6,71.7,14.3,0.0
4Z-KLkjICoY,minimal_20s,15,5,20,0.5,150,0.15,14,2735,36,35,42.9,82.9,71.9,28.6,88.6,74.4,14.3,94.3,74.4,14.3,28.6
5hHM3LdKcRY,original_60s,45,15,60,0.5,150,0.15,14,1942,5,3,50.0,0.0,51.2,0.0,100.0,90.7,0.0,100.0,90.7,50.0,50.0
5hHM3LdKcRY,compact_40s,30,10,40,0.5,150,0.15,14,1942,17,10,71.4,40.0,46.0,14.3,80.0,79.4,7.1,90.0,79.4,57.1,64.3
5hHM3LdKcRY,tight_25s,20,5,25,0.5,150,0.15,14,1942,36,26,57.1,73.1,53.0,14.3,92.3,66.5,50.0,73.1,66.5,42.8,7.1
5hHM3LdKcRY,minimal_20s,15,5,20,0.5,150,0.15,14,1942,47,36,50.0,80.6,59.4,7.1,97.2,62.9,50.0,80.6,62.9,42.9,0.0
yZMFBsYyJL0,original_60s,45,15,60,0.5,150,0.15,14,1482,12,12,85.7,41.7,22.7,50.0,58.3,51.4,42.9,58.3,51.4,35.7,42.8
yZMFBsYyJL0,compact_40s,30,10,40,0.5,150,0.15,14,1482,16,16,64.3,56.2,41.3,28.6,81.2,56.8,28.6,75.0,56.8,35.7,35.7
yZMFBsYyJL0,tight_25s,20,5,25,0.5,150,0.15,14,1482,20,20,50.0,75.0,58.7,14.3,90.0,66.3,21.4,90.0,66.3,35.7,28.6
yZMFBsYyJL0,minimal_20s,15,5,20,0.5,150,0.15,14,1482,22,22,35.7,77.3,65.6,21.4,86.4,70.3,14.3,90.9,70.3,14.3,21.4
igUiMu6sZm0,original_60s,45,15,60,0.5,150,0.15,14,1222,1,1,100.0,0.0,0.2,0.0,100.0,95.1,14.3,0.0,95.1,100.0,85.7
igUiMu6sZm0,compact_40s,30,10,40,0.5,150,0.15,14,1222,2,2,100.0,0.0,1.0,7.1,50.0,93.5,0.0,100.0,93.5,92.9,100.0
igUiMu6sZm0,tight_25s,20,5,25,0.5,150,0.15,14,1222,20,19,85.7,42.1,17.7,21.4,89.5,61.1,35.7,73.7,61.1,64.3,50.0
igUiMu6sZm0,minimal_20s,15,5,20,0.5,150,0.15,14,1222,32,31,71.4,67.7,20.3,21.4,93.5,49.3,78.6,67.7,49.3,50.0,-7.2
