audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,window_total,mean_recall,std_recall,mean_noise,std_noise,mean_pruned,std_pruned,mean_recall_delta_vs_random,mean_recall_delta_vs_uniform,n_videos
0.7,300,0.1,45,15,60,23.95,28.18,39.7,35.41,75.57,25.64,3.6,3.04,32
0.7,350,0.1,45,15,60,23.95,28.18,39.7,35.41,75.57,25.64,3.6,3.04,32
0.6,300,0.1,20,5,25,23.78,28.98,67.77,33.67,77.73,20.89,2.65,2.87,32
0.6,150,0.05,15,5,20,23.44,29.93,80.47,32.23,78.43,19.89,5.47,-0.78,32
0.6,300,0.05,20,5,25,23.44,31.83,75.55,35.42,77.73,20.89,3.12,3.12,32
0.6,350,0.05,20,5,25,23.44,31.83,75.55,35.42,78.14,21.14,3.91,2.34,32
0.6,200,0.15,15,5,20,23.35,21.8,62.57,30.2,79.56,18.2,6.95,3.05,32
0.6,350,0.1,20,5,25,23.08,29.27,69.3,33.94,78.14,21.14,2.65,1.48,32
0.6,200,0.1,15,5,20,23.04,24.58,70.52,32.93,79.56,18.2,4.43,3.26,32
0.6,250,0.15,15,5,20,22.68,21.6,62.46,30.2,80.11,18.07,6.52,3.52,32
0.6,250,0.1,15,5,20,22.35,24.91,70.56,33.18,80.11,18.07,3.73,3.95,32
0.6,200,0.05,15,5,20,21.88,28.47,77.38,34.96,79.56,18.2,4.69,2.34,32
0.6,250,0.05,15,5,20,21.88,28.47,77.19,34.95,80.11,18.07,4.69,3.12,32
0.7,150,0.15,30,10,40,21.74,25.63,45.25,35.91,77.79,22.84,5.3,7.01,32
0.7,150,0.1,30,10,40,21.35,25.54,52.61,38.2,77.79,22.84,1.39,5.47,32
0.7,150,0.05,30,10,40,21.09,25.09,65.06,39.25,77.79,22.84,0.0,3.91,32
0.6,300,0.15,15,5,20,20.66,21.7,64.37,31.06,81.36,17.85,4.72,2.38,32
0.6,350,0.15,15,5,20,20.43,21.81,64.58,31.17,81.57,17.96,4.72,2.38,32
0.6,300,0.05,15,5,20,20.31,28.25,77.64,35.04,81.36,17.85,3.12,6.25,32
0.6,350,0.05,15,5,20,20.31,28.25,77.64,35.04,81.57,17.96,3.91,6.25,32
0.6,300,0.1,15,5,20,20.27,24.83,71.96,33.47,81.36,17.85,2.0,3.61,32
0.6,350,0.1,15,5,20,20.27,24.83,71.93,33.45,81.57,17.96,2.35,4.65,32
0.7,200,0.15,30,10,40,20.18,23.96,41.78,35.51,79.73,20.17,3.97,5.45,32
0.7,200,0.1,30,10,40,19.61,24.1,49.52,38.31,79.73,20.17,-0.0,3.73,32
0.7,250,0.15,30,10,40,19.07,23.91,42.21,35.33,80.29,20.2,3.08,4.78,32
0.7,250,0.1,30,10,40,18.92,24.01,49.17,38.31,80.29,20.2,-0.7,3.73,32
0.7,200,0.05,30,10,40,18.75,25.0,62.64,40.86,79.73,20.17,-2.34,0.78,32
0.7,250,0.05,30,10,40,18.75,25.0,62.48,40.81,80.29,20.2,-2.34,0.78,32
0.7,300,0.05,30,10,40,18.75,25.0,62.22,40.75,81.23,20.36,-1.56,0.0,32
0.7,350,0.05,30,10,40,18.75,25.0,59.1,41.56,81.33,20.45,-1.56,0.0,32
