video_id,audio_method,face_detection,audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,true_peaks,ai_windows_after_audio,ai_windows_after_visual,recall_pct,noise_pct,pruned_pct
GxLa6rdww8g,mfcc,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
pjSxOnCkHIA,mfcc,False,0.4,200,0.15,45,15,13,2,2,84.6,0.0,1.8
g1T8-WSYcdI,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,1.2
0guSWBSO8lo,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
_fWyWcZB7VA,mfcc,False,0.4,200,0.15,45,15,14,2,0,0.0,0.0,100.0
0bGQ_I5NXXo,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
Ug-nsXBgCJk,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4JB24wITVEU,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,1.8
5Q5QWdR42Is,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
pqnhlrlrfmw,mfcc,False,0.4,200,0.15,45,15,14,17,16,92.9,62.5,7.4
IEfBBYmxtIo,mfcc,False,0.4,200,0.15,45,15,14,5,5,100.0,40.0,1.0
IcAV5qiko8M,mfcc,False,0.4,200,0.15,45,15,14,5,1,0.0,100.0,96.4
DZ6q5X7fAmU,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.1
t8HrZTLRCeU,mfcc,False,0.4,200,0.15,45,15,14,3,1,7.1,0.0,97.5
MIoNEQeC7_s,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
qxXYC15dmpc,mfcc,False,0.4,200,0.15,45,15,14,2,2,100.0,0.0,0.6
lbMs5zG4TbM,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.1
MoBkkw66NWY,mfcc,False,0.4,200,0.15,45,15,14,1,1,100.0,0.0,0.0
ewKEe8pL8_w,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
wdGLOmdpq_k,mfcc,False,0.4,200,0.15,45,15,13,1,1,100.0,0.0,0.0
4Z-KLkjICoY,mfcc,False,0.4,200,0.15,45,15,14,15,15,78.6,46.7,11.7
5hHM3LdKcRY,mfcc,False,0.4,200,0.15,45,15,14,4,3,85.7,33.3,12.9
yZMFBsYyJL0,mfcc,False,0.4,200,0.15,45,15,14,3,3,100.0,33.3,0.4
igUiMu6sZm0,mfcc,False,0.4,200,0.15,45,15,14,2,2,100.0,0.0,1.9
